X,Y,OBJECTID,LANDMARKID,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,CATEGORY,SUBCATEGORY,LANDMARK,MORNING_BELL,NUTRITION_BREAK1,LUNCH,NUTRITION_BREAK2,AFTERNOON_DISMISSAL,PROPERTYUNITID,CIVIC_NO,STREET,STATUS,STATUS_DATE,MUNICIPAL_FACILITY,COMMON_LOCATION_REFERENCE,LOCATION_DESCRIPTION,ON_CALL,DIVISION_RESPONSIBLE,OWNERSHIP,ENFORCEMENT_AREA
-80.492840719162984,43.418535289451803,1,133,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2013-09-04T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,MSGR. R.M. HALLER CATHOLIC SCHOOL,08:25,,11:15 - 12:15,,15:00,1045616,118,SHEA CRES,ACTIVE,,N - NO,23,Msgr. R.M. Haller C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,3
-80.411431996558619,43.449004648515668,2,5571,2011-01-02T15:47:12.000Z,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2013-09-04T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. JOHN PAUL II CATHOLIC SCHOOL,,,,,,40245844,75,PEBBLECREEK DR,ACTIVE,,Y - YES,39,St. John Paul II C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,1
-80.509066158442522,43.449049521606938,3,143,,2019-03-13T16:44:01.000Z,WWW.WCDSB.CA,2013-09-04T00:00:00.000Z,ELEMENTARY,ELEMENTARY SCHOOL,ST. JOHN'S CATHOLIC SCHOOL,08:55,,11:45 - 12:45,,15:30,1046289,99,STRANGE ST,ACTIVE,,N - NO,38,St. John's C.S.,N - NO,NON-CITY,SEPARATE SCHOOL BOARD,2
-80.499190879968239,43.452299909336453,4,5609,2011-06-28T11:19:47.000Z,2019-03-11T15:21:28.000Z,MINISTRY OF EDUCATION,2011-06-28T00:00:00.000Z,UNIVERSITY,UNIVERSITY,MCMASTER UNIVERSITY SCHOOL OF MEDICINE,,,,,,40261931,10,VICTORIA ST S,ACTIVE,,N - NO,,McMaster School of Medicine,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.49907463162539,43.452811346528577,5,5610,2011-06-28T11:19:55.000Z,2019-03-11T15:21:28.000Z,MINISTRY OF EDUCATION,2011-06-28T00:00:00.000Z,UNIVERSITY,UNIVERSITY,UNIVERSITY OF WATERLOO HEALTH SCIENCES CAMPUS SCHOOL OF PHARMACY,,,,,,1046661,10,VICTORIA ST S,ACTIVE,,N - NO,,UW School of Pharmacy,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.52397845503522,43.44261989585609,6,3335,2006-01-12T10:21:00.000Z,2019-03-11T15:21:28.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,ALTERNATIVE ELEMENTARY SCHOOL,KITCHENER AREA ENRICHMENT PROGRAM,,,,,,1000782,11,CHOPIN DR,ACTIVE,,N - NO,,,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,0
-80.487109033634951,43.449499658469669,7,5715,,2019-03-11T15:21:28.000Z,http://www.trios.com,2011-02-08T00:00:00.000Z,COLLEGE,CAREER COLLEGE,TRIOS COLLEGE,,,,,,1075972,100,KING ST E,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
-80.496606990775845,43.41776173650139,8,134,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,TRILLIUM PUBLIC SCHOOL,09:00,<Null>,,<Null>,15:20,1044555,79,LAURENTIAN DR,ACTIVE,,N - NO,46,Trillium P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,3
-80.491934360444318,43.410471900587019,9,135,,2019-03-13T16:50:35.000Z,WWW.WRDSB.CA,2006-01-12T00:00:00.000Z,ELEMENTARY,JUNIOR ELEMENTARY SCHOOL,GLENCAIRN PUBLIC SCHOOL,08:55,<Null>,,<Null>,15:15,1007511,664,ERINBROOK DR,ACTIVE,,N - NO,12,Glencairn P.S.,N - NO,NON-CITY,PUBLIC SCHOOL BOARD,3
-80.464912793675865,43.429937518613691,11,215,,2019-03-11T15:21:28.000Z,WWW.SUNSHINEMONTESSORI.ON.CA,2006-01-12T00:00:00.000Z,ALTERNATIVE,ALTERNATIVE SCHOOL 18 MONTHS TO GRADE 8,SUNSHINE MONTESSORI SCHOOL,,,,,,1049880,10,BONIFACE AVE,ACTIVE,,N - NO,,,N - NO,NON-CITY,PRIVATE SCHOOL,0
